ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ave_change,pred_ave_change,real_trend,pred_trend
000002.SZ,20170714,24.45,24.83,24.36,24.59,24.43,0.16,0.65,201797.31,495832.29299999995,0.2533333333333333,0.2408801398674646,1,1
000002.SZ,20170718,25.58,25.8,24.88,25.3,24.59,0.71,2.89,791833.77,2004962.4419999998,-0.17333333333333334,0.15818304191033034,-1,1
000002.SZ,20170719,24.85,26.06,24.43,25.14,25.3,-0.16,-0.63,1008070.7,2526934.175,-0.4466666666666666,-0.2581329633792243,-1,-1
000002.SZ,20170720,24.85,25.64,24.73,25.35,25.14,0.21,0.84,633677.05,1598967.701,-0.6966666666666667,-0.3352842005093894,-1,-1
000002.SZ,20170721,25.19,25.64,24.65,24.78,25.35,-0.57,-2.25,477662.55,1195588.636,-0.45333333333333337,-0.31019924481709815,-1,-1
000002.SZ,20170724,24.7,24.72,23.38,23.8,24.78,-0.98,-3.95,835260.09,2000738.2,-0.26666666666666666,-0.10826048900683735,-1,-1
000002.SZ,20170725,23.6,23.74,23.22,23.26,23.8,-0.54,-2.27,362654.8,849637.9190000001,0.12333333333333334,-0.04929621001084659,1,0
000002.SZ,20170726,23.28,23.68,23.23,23.42,23.26,0.16,0.69,307159.42,719797.707,-0.016666666666666663,0.17385120878616958,0,1
000002.SZ,20170727,23.45,23.63,22.94,23.0,23.42,-0.42,-1.79,426351.28,991318.7790000001,0.13999999999999999,-0.036000389059384796,1,0
000002.SZ,20170728,23.0,23.84,23.0,23.63,23.0,0.63,2.74,412507.68,971981.311,-0.016666666666666673,0.021656383077303443,0,0
000002.SZ,20170731,23.52,23.58,23.1,23.37,23.63,-0.26,-1.1,309424.82,721127.9190000001,-0.08666666666666666,-0.019581846793492765,0,0
000002.SZ,20170801,23.35,23.55,23.2,23.42,23.37,0.05,0.21,209522.62,490486.919,-0.19333333333333333,-0.07243468691905353,-1,0
000002.SZ,20170802,23.45,24.12,23.43,23.58,23.42,0.16,0.68,353910.17,841309.695,-0.29,-0.11072586139043186,-1,-1
000002.SZ,20170803,23.58,23.58,22.79,23.11,23.58,-0.47,-1.99,455189.39,1047661.125,-0.11333333333333334,-0.13088075717290257,-1,-1
000002.SZ,20170804,23.0,23.06,22.71,22.84,23.11,-0.27,-1.17,296123.06,676533.26,0.03666666666666666,0.009594675103823218,0,0
000002.SZ,20170807,22.82,23.05,22.68,22.71,22.84,-0.13,-0.57,234091.49,533908.529,0.03,0.1025810701648393,0,1
000002.SZ,20170808,22.81,22.81,22.58,22.77,22.71,0.06,0.26,191585.01,434919.029,-0.25,0.014422919551531348,-1,0
000002.SZ,20170809,22.8,23.08,22.71,22.95,22.77,0.18,0.79,244983.95,561145.593,-0.3333333333333333,-0.23547137548526142,-1,-1
000002.SZ,20170810,22.99,22.99,22.53,22.8,22.95,-0.15,-0.65,239302.29,543681.994,-0.26,-0.20015442242225026,-1,-1
000002.SZ,20170811,22.6,22.69,22.0,22.02,22.8,-0.78,-3.42,344130.96,768450.896,-0.05333333333333334,-0.052825622459252805,0,0
000002.SZ,20170814,22.12,22.25,21.73,21.95,22.02,-0.07,-0.32,400870.39,879296.825,-0.01,0.06080134640137343,0,0
000002.SZ,20170815,21.99,22.18,21.86,22.02,21.95,0.07,0.32,247722.45,544574.594,0.26666666666666666,0.033554752568403755,1,0
000002.SZ,20170816,22.1,22.1,21.75,21.86,22.02,-0.16,-0.73,229564.85,501790.367,0.25333333333333335,0.2260626799861589,1,1
000002.SZ,20170817,21.9,21.97,21.72,21.92,21.86,0.06,0.27,197748.76,433006.766,0.43,0.12228692779938369,1,1
000002.SZ,20170818,21.88,22.95,21.81,22.82,21.92,0.9,4.11,552724.8,1242948.88,0.13999999999999999,0.2288818953434625,1,1
000002.SZ,20170821,22.7,22.81,22.39,22.62,22.82,-0.2,-0.88,287832.45,649571.377,0.15666666666666665,0.00642720977465299,1,0
000002.SZ,20170822,22.78,23.4,22.65,23.21,22.62,0.59,2.61,504123.49,1167246.978,-0.003333333333333332,0.0355964265267053,0,0
000002.SZ,20170823,23.25,23.3,22.92,23.24,23.21,0.03,0.13,222221.18,514484.895,0.25666666666666665,0.014031637708345923,1,0
